"","Supply.Site","Store","System.Date","SKU","DC.to.Store.Lead.Time..in.Days.","Stock.Transfer.Schedule.at.Store..in.Days.","AVAILABLE.STOCK..Units.","STOCK.VALUE..INR.","Stock.in.Transit","STO.count.in.last.two.weeks","Total.STO.qty.raised.in.last.2.weeks","Fill.rate.at.Stores.for.last.2.weeks...Rolling.Average","DC.to.Store.Fill.Rate.On.Time...Rolling.Average","Last.Good.Receipt.Note..GRN..date.at.Store","Last.GRN.qty.at.Store","Days.since.last.GRN.at.Store","Daily.SALES.QTY...Rolling.Average.for.Last.Month","Daily.SALES.VALUE...Rolling.Average.for.Last.Month","Actual.Sale.in.Last.2.weeks..Total.","Retail.Price","Lead.Time..in.Days.","Diff_lead_time","daily_sales_last_month"
"221","DC - Kolkata Metropolitan Area","Howrah Depot","5/14/2016","Natural Sour Apple Cocktail 3.2 litres",9,12,196,"17,640.00",54,1,43,"100%","90%","5/6/2016",42,8,186,"16,740.00","234,360.00","90",7,2,"166-195"
"222","DC - Kolkata Metropolitan Area","Howrah Depot","5/13/2016","Natural Sour Apple Cocktail 3.2 litres",10,13,58,"5,220.00",54,1,43,"95%","95%","5/5/2016",37,8,175,"15,750.00","264,600.00","90",7,3,"166-195"
"223","DC - Kolkata Metropolitan Area","Howrah Depot","5/12/2016","Natural Sour Apple Cocktail 3.2 litres",9,9,100,"9,000.00",54,1,43,"98%","91%","5/4/2016",40,8,186,"16,740.00","210,924.00","90",7,2,"166-195"
"224","DC - Kolkata Metropolitan Area","Howrah Depot","5/11/2016","Natural Sour Apple Cocktail 3.2 litres",9,14,98,"8,820.00",54,1,43,"97%","98%","5/3/2016",42,8,178,"16,020.00","246,708.00","90",7,2,"166-195"
"225","DC - Kolkata Metropolitan Area","Howrah Depot","5/10/2016","Natural Sour Apple Cocktail 3.2 litres",12,10,75,"6,750.00",54,1,43,"100%","95%","5/2/2016",37,8,191,"17,190.00","312,858.00","90",7,5,"166-195"
"226","DC - Kolkata Metropolitan Area","Howrah Depot","5/9/2016","Natural Sour Apple Cocktail 3.2 litres",10,6,87,"7,830.00",54,1,43,"97%","98%","5/1/2016",42,8,177,"15,930.00","289,926.00","90",7,3,"166-195"
"227","DC - Kolkata Metropolitan Area","Howrah Depot","5/8/2016","Natural Sour Apple Cocktail 3.2 litres",8,9,107,"9,630.00",54,1,43,"98%","95%","4/30/2016",43,8,192,"17,280.00","266,112.00","90",7,1,"166-195"
"228","DC - Kolkata Metropolitan Area","Howrah Depot","5/7/2016","Natural Sour Apple Cocktail 3.2 litres",12,10,44,"3,960.00",54,1,43,"100%","93%","4/29/2016",41,8,188,"16,920.00","307,944.00","90",7,5,"166-195"
"229","DC - Kolkata Metropolitan Area","Howrah Depot","5/6/2016","Natural Sour Apple Cocktail 3.2 litres",8,8,79,"7,110.00",54,1,43,"96%","94%","4/28/2016",43,8,190,"17,100.00","263,340.00","90",7,1,"166-195"
"230","DC - Kolkata Metropolitan Area","Howrah Depot","5/5/2016","Natural Sour Apple Cocktail 3.2 litres",8,13,111,"9,990.00",54,1,43,"98%","95%","4/27/2016",37,8,179,"16,110.00","202,986.00","90",7,1,"166-195"
"231","DC - Kolkata Metropolitan Area","Howrah Depot","5/4/2016","Natural Sour Apple Cocktail 3.2 litres",11,5,71,"6,390.00",54,1,43,"99%","95%","4/26/2016",35,8,184,"16,560.00","185,472.00","90",7,4,"166-195"
"232","DC - Kolkata Metropolitan Area","Howrah Depot","5/3/2016","Natural Sour Apple Cocktail 3.2 litres",9,7,108,"9,720.00",54,1,43,"97%","93%","4/25/2016",40,8,178,"16,020.00","246,708.00","90",7,2,"166-195"
"233","DC - Kolkata Metropolitan Area","Howrah Depot","5/2/2016","Natural Sour Apple Cocktail 3.2 litres",12,6,40,"3,600.00",54,1,43,"98%","98%","4/24/2016",40,8,187,"16,830.00","306,306.00","90",7,5,"166-195"
"234","DC - Kolkata Metropolitan Area","Howrah Depot","5/1/2016","Natural Sour Apple Cocktail 3.2 litres",9,9,102,"9,180.00",54,1,43,"98%","99%","4/23/2016",41,8,192,"17,280.00","290,304.00","90",7,2,"166-195"
"235","DC - Kolkata Metropolitan Area","Howrah Depot","6/8/2016","Penne with Roasted Vegetables 4.5 kg",12,8,179,"107,400.00",14,2,20,"99%","94%","5/29/2016",19,10,179,"107,400.00","1,202,880.00","600",7,5,"166-195"
"236","DC - Kolkata Metropolitan Area","Howrah Depot","6/7/2016","Penne with Roasted Vegetables 4.5 kg",12,5,122,"73,200.00",89,2,152,"95%","92%","5/26/2016",149,12,193,"115,800.00","1,621,200.00","600",7,5,"166-195"
"237","DC - Kolkata Metropolitan Area","Howrah Depot","6/6/2016","Penne with Roasted Vegetables 4.5 kg",9,8,161,"96,600.00",29,4,92,"100%","97%","5/27/2016",81,10,197,"118,200.00","2,151,240.00","600",7,2,"196-225"
"238","DC - Kolkata Metropolitan Area","Howrah Depot","6/5/2016","Penne with Roasted Vegetables 4.5 kg",10,14,84,"50,400.00",27,4,96,"95%","91%","6/2/2016",80,3,198,"118,800.00","1,663,200.00","600",7,3,"196-225"
"239","DC - Kolkata Metropolitan Area","Howrah Depot","6/4/2016","Penne with Roasted Vegetables 4.5 kg",9,10,52,"31,200.00",38,3,102,"98%","92%","5/22/2016",99,13,175,"105,000.00","1,176,000.00","600",7,2,"166-195"
"240","DC - Kolkata Metropolitan Area","Howrah Depot","6/3/2016","Penne with Roasted Vegetables 4.5 kg",12,12,43,"25,800.00",14,2,20,"99%","98%","5/24/2016",18,10,186,"111,600.00","1,718,640.00","600",7,5,"166-195"
"241","DC - Kolkata Metropolitan Area","Howrah Depot","6/2/2016","Penne with Roasted Vegetables 4.5 kg",10,15,161,"96,600.00",14,2,20,"99%","90%","5/23/2016",18,10,173,"103,800.00","1,598,520.00","600",7,3,"166-195"
"242","DC - Kolkata Metropolitan Area","Howrah Depot","6/1/2016","Penne with Roasted Vegetables 4.5 kg",9,10,168,"100,800.00",14,2,20,"99%","98%","5/22/2016",17,10,177,"106,200.00","1,486,800.00","600",7,2,"166-195"
"243","DC - Kolkata Metropolitan Area","Howrah Depot","5/31/2016","Penne with Roasted Vegetables 4.5 kg",8,8,107,"64,200.00",14,2,20,"99%","99%","5/21/2016",17,10,174,"104,400.00","1,607,760.00","600",7,1,"166-195"
"244","DC - Kolkata Metropolitan Area","Howrah Depot","5/30/2016","Penne with Roasted Vegetables 4.5 kg",10,8,209,"125,400.00",14,2,20,"98%","94%","5/20/2016",19,10,192,"115,200.00","1,451,520.00","600",7,3,"166-195"
"245","DC - Kolkata Metropolitan Area","Howrah Depot","5/29/2016","Penne with Roasted Vegetables 4.5 kg",9,8,82,"49,200.00",14,2,20,"98%","95%","5/19/2016",19,10,187,"112,200.00","1,256,640.00","600",7,2,"166-195"
"246","DC - Kolkata Metropolitan Area","Howrah Depot","5/28/2016","Penne with Roasted Vegetables 4.5 kg",10,12,50,"30,000.00",14,2,20,"100%","98%","5/18/2016",17,10,181,"108,600.00","1,824,480.00","600",7,3,"166-195"
"247","DC - Kolkata Metropolitan Area","Howrah Depot","5/27/2016","Penne with Roasted Vegetables 4.5 kg",12,14,139,"83,400.00",14,2,20,"96%","97%","5/17/2016",17,10,199,"119,400.00","2,173,080.00","600",7,5,"196-225"
"248","DC - Kolkata Metropolitan Area","Howrah Depot","5/26/2016","Penne with Roasted Vegetables 4.5 kg",12,10,112,"67,200.00",14,2,20,"96%","98%","5/16/2016",16,10,180,"108,000.00","1,965,600.00","600",7,5,"166-195"
"249","DC - Kolkata Metropolitan Area","Howrah Depot","5/25/2016","Penne with Roasted Vegetables 4.5 kg",8,9,199,"119,400.00",14,2,20,"100%","92%","5/15/2016",17,10,192,"115,200.00","1,774,080.00","600",7,1,"166-195"
"250","DC - Kolkata Metropolitan Area","Howrah Depot","5/24/2016","Penne with Roasted Vegetables 4.5 kg",8,8,144,"86,400.00",14,2,20,"95%","90%","5/14/2016",16,10,176,"105,600.00","1,626,240.00","600",7,1,"166-195"
"251","DC - Kolkata Metropolitan Area","Howrah Depot","5/23/2016","Penne with Roasted Vegetables 4.5 kg",11,7,131,"78,600.00",14,2,20,"96%","91%","5/13/2016",19,10,198,"118,800.00","1,829,520.00","600",7,4,"196-225"
"252","DC - Kolkata Metropolitan Area","Howrah Depot","5/22/2016","Penne with Roasted Vegetables 4.5 kg",11,15,45,"27,000.00",14,2,20,"96%","97%","5/12/2016",17,10,178,"106,800.00","1,794,240.00","600",7,4,"166-195"
"253","DC - Kolkata Metropolitan Area","Howrah Depot","5/21/2016","Penne with Roasted Vegetables 4.5 kg",12,14,148,"88,800.00",14,2,20,"100%","96%","5/11/2016",18,10,176,"105,600.00","1,478,400.00","600",7,5,"166-195"
"254","DC - Kolkata Metropolitan Area","Howrah Depot","5/20/2016","Penne with Roasted Vegetables 4.5 kg",11,13,109,"65,400.00",14,2,20,"100%","96%","5/10/2016",18,10,195,"117,000.00","1,310,400.00","600",7,4,"166-195"
"255","DC - Kolkata Metropolitan Area","Howrah Depot","5/19/2016","Penne with Roasted Vegetables 4.5 kg",9,5,87,"52,200.00",14,2,20,"100%","91%","5/9/2016",18,10,199,"119,400.00","1,337,280.00","600",7,2,"196-225"
"256","DC - Kolkata Metropolitan Area","Howrah Depot","5/18/2016","Penne with Roasted Vegetables 4.5 kg",10,11,58,"34,800.00",14,2,20,"97%","95%","5/8/2016",20,10,197,"118,200.00","1,654,800.00","600",7,3,"196-225"
"257","DC - Kolkata Metropolitan Area","Howrah Depot","5/17/2016","Penne with Roasted Vegetables 4.5 kg",9,12,93,"55,800.00",14,2,20,"99%","99%","5/7/2016",16,10,182,"109,200.00","1,223,040.00","600",7,2,"166-195"
"258","DC - Kolkata Metropolitan Area","Howrah Depot","5/16/2016","Penne with Roasted Vegetables 4.5 kg",12,13,109,"65,400.00",14,2,20,"98%","94%","5/6/2016",20,10,188,"112,800.00","1,421,280.00","600",7,5,"166-195"
"259","DC - Kolkata Metropolitan Area","Howrah Depot","5/15/2016","Penne with Roasted Vegetables 4.5 kg",11,14,67,"40,200.00",14,2,20,"95%","95%","5/5/2016",17,10,174,"104,400.00","1,315,440.00","600",7,4,"166-195"
"260","DC - Kolkata Metropolitan Area","Howrah Depot","5/14/2016","Penne with Roasted Vegetables 4.5 kg",12,9,62,"37,200.00",14,2,20,"95%","91%","5/4/2016",18,10,186,"111,600.00","1,406,160.00","600",7,5,"166-195"
"261","DC - Kolkata Metropolitan Area","Howrah Depot","5/13/2016","Penne with Roasted Vegetables 4.5 kg",12,6,152,"91,200.00",14,2,20,"100%","92%","5/3/2016",16,10,195,"117,000.00","2,129,400.00","600",7,5,"166-195"
"262","DC - Kolkata Metropolitan Area","Howrah Depot","5/12/2016","Penne with Roasted Vegetables 4.5 kg",9,6,129,"77,400.00",14,2,20,"98%","92%","5/2/2016",18,10,196,"117,600.00","1,811,040.00","600",7,2,"196-225"
"263","DC - Kolkata Metropolitan Area","Howrah Depot","5/11/2016","Penne with Roasted Vegetables 4.5 kg",8,13,200,"120,000.00",14,2,20,"95%","93%","5/1/2016",17,10,171,"102,600.00","1,149,120.00","600",7,1,"166-195"
"264","DC - Kolkata Metropolitan Area","Howrah Depot","5/10/2016","Penne with Roasted Vegetables 4.5 kg",8,8,210,"126,000.00",14,2,20,"100%","92%","4/30/2016",19,10,173,"103,800.00","1,162,560.00","600",7,1,"166-195"
"265","DC - Kolkata Metropolitan Area","Howrah Depot","5/9/2016","Penne with Roasted Vegetables 4.5 kg",9,5,195,"117,000.00",14,2,20,"97%","96%","4/29/2016",18,10,188,"112,800.00","2,052,960.00","600",7,2,"166-195"
"266","DC - Kolkata Metropolitan Area","Howrah Depot","5/8/2016","Penne with Roasted Vegetables 4.5 kg",9,5,55,"33,000.00",14,2,20,"99%","96%","4/28/2016",20,10,182,"109,200.00","1,223,040.00","600",7,2,"166-195"
"267","DC - Kolkata Metropolitan Area","Howrah Depot","5/7/2016","Penne with Roasted Vegetables 4.5 kg",11,13,70,"42,000.00",14,2,20,"95%","90%","4/27/2016",16,10,171,"102,600.00","1,292,760.00","600",7,4,"166-195"
"268","DC - Kolkata Metropolitan Area","Howrah Depot","5/6/2016","Penne with Roasted Vegetables 4.5 kg",11,10,44,"26,400.00",14,2,20,"96%","93%","4/26/2016",18,10,184,"110,400.00","1,700,160.00","600",7,4,"166-195"
"269","DC - Kolkata Metropolitan Area","Howrah Depot","5/5/2016","Penne with Roasted Vegetables 4.5 kg",8,10,91,"54,600.00",14,2,20,"100%","97%","4/25/2016",18,10,195,"117,000.00","1,801,800.00","600",7,1,"166-195"
"270","DC - Kolkata Metropolitan Area","Howrah Depot","5/4/2016","Penne with Roasted Vegetables 4.5 kg",11,12,55,"33,000.00",14,2,20,"97%","97%","4/24/2016",19,10,186,"111,600.00","1,562,400.00","600",7,4,"166-195"
"271","DC - Kolkata Metropolitan Area","Howrah Depot","5/3/2016","Penne with Roasted Vegetables 4.5 kg",8,14,110,"66,000.00",14,2,20,"96%","92%","4/23/2016",19,10,184,"110,400.00","1,545,600.00","600",7,1,"166-195"
"272","DC - Kolkata Metropolitan Area","Howrah Depot","5/2/2016","Penne with Roasted Vegetables 4.5 kg",12,5,66,"39,600.00",14,2,20,"100%","91%","4/22/2016",18,10,187,"112,200.00","1,570,800.00","600",7,5,"166-195"
"273","DC - Kolkata Metropolitan Area","Howrah Depot","5/1/2016","Penne with Roasted Vegetables 4.5 kg",10,5,131,"78,600.00",14,2,20,"100%","97%","4/21/2016",17,10,180,"108,000.00","1,663,200.00","600",7,3,"166-195"
"274","DC - Kolkata Metropolitan Area","Howrah Depot","6/8/2016","Pinapple Chunk 8 kg",11,12,87,"6,525.00",88,2,144,"99%","97%","6/2/2016",131,6,183,"13,725.00","172,935.00","75",7,4,"166-195"
"275","DC - Kolkata Metropolitan Area","Howrah Depot","6/7/2016","Pinapple Chunk 8 kg",11,7,99,"7,425.00",47,4,156,"99%","94%","6/2/2016",131,5,178,"13,350.00","168,210.00","75",7,4,"166-195"
"276","DC - Kolkata Metropolitan Area","Howrah Depot","6/6/2016","Pinapple Chunk 8 kg",9,14,0,"0",58,3,165,"13%","93%","5/28/2016",145,9,176,"13,200.00","240,240.00","75",7,2,"166-195"
"277","DC - Kolkata Metropolitan Area","Howrah Depot","6/5/2016","Pinapple Chunk 8 kg",9,6,0,"0",88,1,77,"13%","92%","5/29/2016",75,7,182,"13,650.00","171,990.00","75",7,2,"166-195"
"278","DC - Kolkata Metropolitan Area","Howrah Depot","6/4/2016","Pinapple Chunk 8 kg",8,11,0,"0",71,1,67,"8%","95%","5/29/2016",56,6,197,"14,775.00","268,905.00","75",7,1,"196-225"
"279","DC - Kolkata Metropolitan Area","Howrah Depot","6/3/2016","Pinapple Chunk 8 kg",11,8,193,"14,475.00",88,2,144,"97%","95%","5/28/2016",124,6,193,"14,475.00","182,385.00","75",7,4,"166-195"
"280","DC - Kolkata Metropolitan Area","Howrah Depot","6/2/2016","Pinapple Chunk 8 kg",9,13,65,"4,875.00",88,2,144,"100%","99%","5/27/2016",137,6,194,"14,550.00","203,700.00","75",7,2,"166-195"
"281","DC - Kolkata Metropolitan Area","Howrah Depot","6/1/2016","Pinapple Chunk 8 kg",8,9,196,"14,700.00",88,2,144,"100%","97%","5/26/2016",118,6,200,"15,000.00","231,000.00","75",7,1,"196-225"
"282","DC - Kolkata Metropolitan Area","Howrah Depot","5/31/2016","Pinapple Chunk 8 kg",8,5,65,"4,875.00",88,2,144,"100%","95%","5/25/2016",124,6,191,"14,325.00","260,715.00","75",7,1,"166-195"
"283","DC - Kolkata Metropolitan Area","Howrah Depot","5/30/2016","Pinapple Chunk 8 kg",12,9,0,"0",88,2,144,"13%","95%","5/24/2016",134,6,185,"13,875.00","194,250.00","75",7,5,"166-195"
"284","DC - Kolkata Metropolitan Area","Howrah Depot","5/29/2016","Pinapple Chunk 8 kg",12,5,0,"0",88,2,144,"9%","99%","5/23/2016",125,6,170,"12,750.00","160,650.00","75",7,5,"166-195"
"285","DC - Kolkata Metropolitan Area","Howrah Depot","5/28/2016","Pinapple Chunk 8 kg",12,11,94,"7,050.00",88,2,144,"97%","91%","5/22/2016",122,6,192,"14,400.00","201,600.00","75",7,5,"166-195"
"286","DC - Kolkata Metropolitan Area","Howrah Depot","5/27/2016","Pinapple Chunk 8 kg",11,11,70,"5,250.00",88,2,144,"96%","95%","5/21/2016",138,6,189,"14,175.00","198,450.00","75",7,4,"166-195"
"287","DC - Kolkata Metropolitan Area","Howrah Depot","5/26/2016","Pinapple Chunk 8 kg",9,13,183,"13,725.00",88,2,144,"97%","91%","5/20/2016",131,6,177,"13,275.00","185,850.00","75",7,2,"166-195"
"288","DC - Kolkata Metropolitan Area","Howrah Depot","5/25/2016","Pinapple Chunk 8 kg",11,11,151,"11,325.00",88,2,144,"99%","90%","5/19/2016",131,6,186,"13,950.00","214,830.00","75",7,4,"166-195"
"289","DC - Kolkata Metropolitan Area","Howrah Depot","5/24/2016","Pinapple Chunk 8 kg",8,13,197,"14,775.00",88,2,144,"96%","90%","5/18/2016",117,6,180,"13,500.00","207,900.00","75",7,1,"166-195"
"290","DC - Kolkata Metropolitan Area","Howrah Depot","5/23/2016","Pinapple Chunk 8 kg",8,12,210,"15,750.00",88,2,144,"100%","94%","5/17/2016",115,6,176,"13,200.00","240,240.00","75",7,1,"166-195"
"291","DC - Kolkata Metropolitan Area","Howrah Depot","5/22/2016","Pinapple Chunk 8 kg",9,9,103,"7,725.00",88,2,144,"95%","90%","5/16/2016",134,6,172,"12,900.00","162,540.00","75",7,2,"166-195"
"292","DC - Kolkata Metropolitan Area","Howrah Depot","5/21/2016","Pinapple Chunk 8 kg",12,7,122,"9,150.00",88,2,144,"100%","99%","5/15/2016",118,6,171,"12,825.00","161,595.00","75",7,5,"166-195"
"293","DC - Kolkata Metropolitan Area","Howrah Depot","5/20/2016","Pinapple Chunk 8 kg",10,9,0,"0",88,2,144,"12%","97%","5/14/2016",120,6,171,"12,825.00","233,415.00","75",7,3,"166-195"
"294","DC - Kolkata Metropolitan Area","Howrah Depot","5/19/2016","Pinapple Chunk 8 kg",9,10,0,"0",88,2,144,"13%","93%","5/13/2016",131,6,171,"12,825.00","179,550.00","75",7,2,"166-195"
"295","DC - Kolkata Metropolitan Area","Howrah Depot","5/18/2016","Pinapple Chunk 8 kg",11,12,0,"0",88,2,144,"8%","97%","5/12/2016",138,6,197,"14,775.00","248,220.00","75",7,4,"196-225"
"296","DC - Kolkata Metropolitan Area","Howrah Depot","5/17/2016","Pinapple Chunk 8 kg",10,11,0,"0",88,2,144,"10%","97%","5/11/2016",127,6,200,"15,000.00","273,000.00","75",7,3,"196-225"
"297","DC - Kolkata Metropolitan Area","Howrah Depot","5/16/2016","Pinapple Chunk 8 kg",9,8,157,"11,775.00",88,2,144,"98%","98%","5/10/2016",134,6,183,"13,725.00","249,795.00","75",7,2,"166-195"
"298","DC - Kolkata Metropolitan Area","Howrah Depot","5/15/2016","Pinapple Chunk 8 kg",12,5,115,"8,625.00",88,2,144,"95%","94%","5/9/2016",125,6,184,"13,800.00","231,840.00","75",7,5,"166-195"
"299","DC - Kolkata Metropolitan Area","Howrah Depot","5/14/2016","Pinapple Chunk 8 kg",9,10,81,"6,075.00",88,2,144,"99%","96%","5/8/2016",138,6,191,"14,325.00","180,495.00","75",7,2,"166-195"
"300","DC - Kolkata Metropolitan Area","Howrah Depot","5/13/2016","Pinapple Chunk 8 kg",9,9,69,"5,175.00",88,2,144,"95%","97%","5/7/2016",140,6,177,"13,275.00","223,020.00","75",7,2,"166-195"
"301","DC - Kolkata Metropolitan Area","Howrah Depot","5/12/2016","Pinapple Chunk 8 kg",12,8,171,"12,825.00",88,2,144,"98%","92%","5/6/2016",141,6,170,"12,750.00","142,800.00","75",7,5,"166-195"
"302","DC - Kolkata Metropolitan Area","Howrah Depot","5/11/2016","Pinapple Chunk 8 kg",8,8,86,"6,450.00",88,2,144,"97%","92%","5/5/2016",122,6,197,"14,775.00","248,220.00","75",7,1,"196-225"
"303","DC - Kolkata Metropolitan Area","Howrah Depot","5/10/2016","Pinapple Chunk 8 kg",12,7,132,"9,900.00",88,2,144,"98%","99%","5/4/2016",141,6,178,"13,350.00","205,590.00","75",7,5,"166-195"
"304","DC - Kolkata Metropolitan Area","Howrah Depot","5/9/2016","Pinapple Chunk 8 kg",8,11,111,"8,325.00",88,2,144,"98%","96%","5/3/2016",132,6,199,"14,925.00","229,845.00","75",7,1,"196-225"
"305","DC - Kolkata Metropolitan Area","Howrah Depot","5/8/2016","Pinapple Chunk 8 kg",12,11,129,"9,675.00",88,2,144,"100%","92%","5/2/2016",124,6,176,"13,200.00","166,320.00","75",7,5,"166-195"
"306","DC - Kolkata Metropolitan Area","Howrah Depot","5/7/2016","Pinapple Chunk 8 kg",11,9,200,"15,000.00",88,2,144,"95%","91%","5/1/2016",115,6,194,"14,550.00","203,700.00","75",7,4,"166-195"
"307","DC - Kolkata Metropolitan Area","Howrah Depot","5/6/2016","Pinapple Chunk 8 kg",11,12,125,"9,375.00",88,2,144,"100%","98%","4/30/2016",128,6,198,"14,850.00","187,110.00","75",7,4,"196-225"
"308","DC - Kolkata Metropolitan Area","Howrah Depot","5/5/2016","Pinapple Chunk 8 kg",9,14,0,"0",88,2,144,"5%","94%","4/29/2016",124,6,174,"13,050.00","219,240.00","75",7,2,"166-195"
"309","DC - Kolkata Metropolitan Area","Howrah Depot","5/4/2016","Pinapple Chunk 8 kg",9,6,0,"0",88,2,144,"5%","93%","4/28/2016",117,6,183,"13,725.00","172,935.00","75",7,2,"166-195"
"310","DC - Kolkata Metropolitan Area","Howrah Depot","5/3/2016","Pinapple Chunk 8 kg",8,6,0,"0",88,2,144,"14%","95%","4/27/2016",140,6,185,"13,875.00","174,825.00","75",7,1,"166-195"
"311","DC - Kolkata Metropolitan Area","Howrah Depot","5/2/2016","Pinapple Chunk 8 kg",12,13,0,"0",88,2,144,"5%","97%","4/26/2016",132,6,197,"14,775.00","186,165.00","75",7,5,"196-225"
"312","DC - Kolkata Metropolitan Area","Howrah Depot","5/1/2016","Pinapple Chunk 8 kg",8,15,0,"0",88,2,144,"13%","95%","4/25/2016",115,6,196,"14,700.00","164,640.00","75",7,1,"196-225"
"313","DC - Kolkata Metropolitan Area","Howrah Depot","6/8/2016","Sugar 5 kg",9,8,89,"17,800.00",14,4,52,"95%","90%","5/31/2016",46,8,193,"38,600.00","540,400.00","200",7,2,"166-195"
"314","DC - Kolkata Metropolitan Area","Howrah Depot","6/7/2016","Sugar 5 kg",9,13,157,"31,400.00",75,4,256,"97%","99%","5/27/2016",228,11,199,"39,800.00","724,360.00","200",7,2,"196-225"
"315","DC - Kolkata Metropolitan Area","Howrah Depot","6/6/2016","Sugar 5 kg",8,11,145,"29,000.00",64,3,153,"98%","94%","6/3/2016",136,3,181,"36,200.00","506,800.00","200",7,1,"166-195"
"316","DC - Kolkata Metropolitan Area","Howrah Depot","6/5/2016","Sugar 5 kg",10,10,0,"0",33,1,28,"7%","91%","5/27/2016",27,9,198,"39,600.00","720,720.00","200",7,3,"196-225"
"317","DC - Kolkata Metropolitan Area","Howrah Depot","6/4/2016","Sugar 5 kg",12,7,0,"0",19,2,30,"7%","91%","5/23/2016",25,12,193,"38,600.00","486,360.00","200",7,5,"166-195"
"318","DC - Kolkata Metropolitan Area","Howrah Depot","6/3/2016","Sugar 5 kg",11,8,0,"0",14,4,52,"15%","99%","5/26/2016",49,8,178,"35,600.00","647,920.00","200",7,4,"166-195"
"319","DC - Kolkata Metropolitan Area","Howrah Depot","6/2/2016","Sugar 5 kg",11,14,134,"26,800.00",14,4,52,"97%","98%","5/25/2016",49,8,176,"35,200.00","640,640.00","200",7,4,"166-195"
"320","DC - Kolkata Metropolitan Area","Howrah Depot","6/1/2016","Sugar 5 kg",9,13,181,"36,200.00",14,4,52,"97%","94%","5/24/2016",43,8,179,"35,800.00","400,960.00","200",7,2,"166-195"
"321","DC - Kolkata Metropolitan Area","Howrah Depot","5/31/2016","Sugar 5 kg",8,13,126,"25,200.00",14,4,52,"95%","94%","5/23/2016",51,8,177,"35,400.00","644,280.00","200",7,1,"166-195"
"322","DC - Kolkata Metropolitan Area","Howrah Depot","5/30/2016","Sugar 5 kg",10,5,127,"25,400.00",14,4,52,"95%","97%","5/22/2016",44,8,176,"35,200.00","492,800.00","200",7,3,"166-195"
"323","DC - Kolkata Metropolitan Area","Howrah Depot","5/29/2016","Sugar 5 kg",8,10,188,"37,600.00",14,4,52,"100%","99%","5/21/2016",44,8,183,"36,600.00","461,160.00","200",7,1,"166-195"
"324","DC - Kolkata Metropolitan Area","Howrah Depot","5/28/2016","Sugar 5 kg",12,10,146,"29,200.00",14,4,52,"98%","94%","5/20/2016",43,8,177,"35,400.00","545,160.00","200",7,5,"166-195"
"325","DC - Kolkata Metropolitan Area","Howrah Depot","5/27/2016","Sugar 5 kg",9,7,144,"28,800.00",14,4,52,"100%","95%","5/19/2016",42,8,200,"40,000.00","728,000.00","200",7,2,"196-225"
"326","DC - Kolkata Metropolitan Area","Howrah Depot","5/26/2016","Sugar 5 kg",11,15,167,"33,400.00",14,4,52,"100%","95%","5/18/2016",47,8,177,"35,400.00","594,720.00","200",7,4,"166-195"
"327","DC - Kolkata Metropolitan Area","Howrah Depot","5/25/2016","Sugar 5 kg",8,8,0,"0",14,4,52,"9%","98%","5/17/2016",46,8,174,"34,800.00","487,200.00","200",7,1,"166-195"
"328","DC - Kolkata Metropolitan Area","Howrah Depot","5/24/2016","Sugar 5 kg",8,8,0,"0",14,4,52,"6%","91%","5/16/2016",50,8,184,"36,800.00","412,160.00","200",7,1,"166-195"
"329","DC - Kolkata Metropolitan Area","Howrah Depot","5/23/2016","Sugar 5 kg",11,5,0,"0",14,4,52,"12%","95%","5/15/2016",50,8,186,"37,200.00","520,800.00","200",7,4,"166-195"
"330","DC - Kolkata Metropolitan Area","Howrah Depot","5/22/2016","Sugar 5 kg",12,7,128,"25,600.00",14,4,52,"100%","93%","5/14/2016",51,8,194,"38,800.00","651,840.00","200",7,5,"166-195"
"331","DC - Kolkata Metropolitan Area","Howrah Depot","5/21/2016","Sugar 5 kg",12,13,203,"40,600.00",14,4,52,"98%","93%","5/13/2016",51,8,199,"39,800.00","612,920.00","200",7,5,"196-225"
"332","DC - Kolkata Metropolitan Area","Howrah Depot","5/20/2016","Sugar 5 kg",9,6,128,"25,600.00",14,4,52,"98%","91%","5/12/2016",44,8,187,"37,400.00","471,240.00","200",7,2,"166-195"
"333","DC - Kolkata Metropolitan Area","Howrah Depot","5/19/2016","Sugar 5 kg",10,10,187,"37,400.00",14,4,52,"99%","90%","5/11/2016",49,8,198,"39,600.00","720,720.00","200",7,3,"196-225"
"334","DC - Kolkata Metropolitan Area","Howrah Depot","5/18/2016","Sugar 5 kg",9,12,180,"36,000.00",14,4,52,"99%","95%","5/10/2016",46,8,195,"39,000.00","709,800.00","200",7,2,"166-195"
"335","DC - Kolkata Metropolitan Area","Howrah Depot","5/17/2016","Sugar 5 kg",12,13,203,"40,600.00",14,4,52,"99%","94%","5/9/2016",51,8,178,"35,600.00","647,920.00","200",7,5,"166-195"
"336","DC - Kolkata Metropolitan Area","Howrah Depot","5/16/2016","Sugar 5 kg",8,11,0,"0",14,4,52,"14%","90%","5/8/2016",44,8,190,"38,000.00","532,000.00","200",7,1,"166-195"
"337","DC - Kolkata Metropolitan Area","Howrah Depot","5/15/2016","Sugar 5 kg",11,11,0,"0",14,4,52,"11%","98%","5/7/2016",46,8,185,"37,000.00","466,200.00","200",7,4,"166-195"
