System Date,Purchase Category,SKU,Store,Supply Site,Vendor,DC to Store Lead Time (in Days),Stock Transfer Schedule at Store (in Days),AVAILABLE STOCK (Units),UoM,STOCK VALUE (INR),Stock in Transit,STO count in last two weeks,Total STO qty raised in last 2 weeks,Fill rate at Stores for last 2 weeks - Rolling Average,DC to Store Fill Rate On Time - Rolling Average,Last Good Receipt Note (GRN) date at Store,Last GRN qty at Store,Days since last GRN at Store,Daily SALES QTY - Rolling Average for Last Month,Daily SALES VALUE - Rolling Average for Last Month,Actual Sale in Last 2 weeks (Total),Retail Price
6/7/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,5,122,Kgs,"73,200.00",89,2,152,95%,92%,5/26/2016,149,12,193,"115,800.00","1,621,200.00",600
6/6/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,9,8,161,Kgs,"96,600.00",29,4,92,100%,97%,5/27/2016,81,10,197,"118,200.00","2,151,240.00",600
6/5/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,14,84,Kgs,"50,400.00",27,4,96,95%,91%,6/2/2016,80,3,198,"118,800.00","1,663,200.00",600
6/4/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,9,10,52,Kgs,"31,200.00",38,3,102,98%,92%,5/22/2016,99,13,175,"105,000.00","1,176,000.00",600
6/3/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,12,43,Kgs,"25,800.00",14,2,20,99%,98%,5/24/2016,18,10,186,"111,600.00","1,718,640.00",600
6/2/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,15,161,Kgs,"96,600.00",14,2,20,99%,90%,5/23/2016,18,10,173,"103,800.00","1,598,520.00",600
6/1/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,9,10,168,Kgs,"100,800.00",14,2,20,99%,98%,5/22/2016,17,10,177,"106,200.00","1,486,800.00",600
5/31/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,8,8,107,Kgs,"64,200.00",14,2,20,99%,99%,5/21/2016,17,10,174,"104,400.00","1,607,760.00",600
5/30/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,8,209,Kgs,"125,400.00",14,2,20,98%,94%,5/20/2016,19,10,192,"115,200.00","1,451,520.00",600
5/29/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,9,8,82,Kgs,"49,200.00",14,2,20,98%,95%,5/19/2016,19,10,187,"112,200.00","1,256,640.00",600
5/28/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,12,50,Kgs,"30,000.00",14,2,20,100%,98%,5/18/2016,17,10,181,"108,600.00","1,824,480.00",600
5/27/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,14,139,Kgs,"83,400.00",14,2,20,96%,97%,5/17/2016,17,10,199,"119,400.00","2,173,080.00",600
5/26/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,10,112,Kgs,"67,200.00",14,2,20,96%,98%,5/16/2016,16,10,180,"108,000.00","1,965,600.00",600
5/25/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,8,9,199,Kgs,"119,400.00",14,2,20,100%,92%,5/15/2016,17,10,192,"115,200.00","1,774,080.00",600
5/24/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,8,8,144,Kgs,"86,400.00",14,2,20,95%,90%,5/14/2016,16,10,176,"105,600.00","1,626,240.00",600
5/23/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,11,7,131,Kgs,"78,600.00",14,2,20,96%,91%,5/13/2016,19,10,198,"118,800.00","1,829,520.00",600
5/22/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,11,15,45,Kgs,"27,000.00",14,2,20,96%,97%,5/12/2016,17,10,178,"106,800.00","1,794,240.00",600
5/21/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,14,148,Kgs,"88,800.00",14,2,20,100%,96%,5/11/2016,18,10,176,"105,600.00","1,478,400.00",600
5/20/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,11,13,109,Kgs,"65,400.00",14,2,20,100%,96%,5/10/2016,18,10,195,"117,000.00","1,310,400.00",600
5/19/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,9,5,87,Kgs,"52,200.00",14,2,20,100%,91%,5/9/2016,18,10,199,"119,400.00","1,337,280.00",600
5/18/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,11,58,Kgs,"34,800.00",14,2,20,97%,95%,5/8/2016,20,10,197,"118,200.00","1,654,800.00",600
5/17/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,9,12,93,Kgs,"55,800.00",14,2,20,99%,99%,5/7/2016,16,10,182,"109,200.00","1,223,040.00",600
5/16/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,13,109,Kgs,"65,400.00",14,2,20,98%,94%,5/6/2016,20,10,188,"112,800.00","1,421,280.00",600
5/15/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,11,14,67,Kgs,"40,200.00",14,2,20,95%,95%,5/5/2016,17,10,174,"104,400.00","1,315,440.00",600
5/14/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,9,62,Kgs,"37,200.00",14,2,20,95%,91%,5/4/2016,18,10,186,"111,600.00","1,406,160.00",600
5/13/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,6,152,Kgs,"91,200.00",14,2,20,100%,92%,5/3/2016,16,10,195,"117,000.00","2,129,400.00",600
5/12/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,9,6,129,Kgs,"77,400.00",14,2,20,98%,92%,5/2/2016,18,10,196,"117,600.00","1,811,040.00",600
5/11/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,8,13,200,Kgs,"120,000.00",14,2,20,95%,93%,5/1/2016,17,10,171,"102,600.00","1,149,120.00",600
5/10/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,8,8,210,Kgs,"126,000.00",14,2,20,100%,92%,4/30/2016,19,10,173,"103,800.00","1,162,560.00",600
5/9/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,9,5,195,Kgs,"117,000.00",14,2,20,97%,96%,4/29/2016,18,10,188,"112,800.00","2,052,960.00",600
5/8/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,9,5,55,Kgs,"33,000.00",14,2,20,99%,96%,4/28/2016,20,10,182,"109,200.00","1,223,040.00",600
5/7/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,11,13,70,Kgs,"42,000.00",14,2,20,95%,90%,4/27/2016,16,10,171,"102,600.00","1,292,760.00",600
5/6/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,11,10,44,Kgs,"26,400.00",14,2,20,96%,93%,4/26/2016,18,10,184,"110,400.00","1,700,160.00",600
5/5/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,8,10,91,Kgs,"54,600.00",14,2,20,100%,97%,4/25/2016,18,10,195,"117,000.00","1,801,800.00",600
5/4/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,11,12,55,Kgs,"33,000.00",14,2,20,97%,97%,4/24/2016,19,10,186,"111,600.00","1,562,400.00",600
5/3/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,8,14,110,Kgs,"66,000.00",14,2,20,96%,92%,4/23/2016,19,10,184,"110,400.00","1,545,600.00",600
5/2/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,5,66,Kgs,"39,600.00",14,2,20,100%,91%,4/22/2016,18,10,187,"112,200.00","1,570,800.00",600
5/1/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,5,131,Kgs,"78,600.00",14,2,20,100%,97%,4/21/2016,17,10,180,"108,000.00","1,663,200.00",600
6/8/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,12,87,Kgs,"6,525.00",88,2,144,99%,97%,6/2/2016,131,6,183,"13,725.00","172,935.00",75
6/7/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,7,99,Kgs,"7,425.00",47,4,156,99%,94%,6/2/2016,131,5,178,"13,350.00","168,210.00",75
6/6/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,9,14,0,Kgs,0,58,3,165,13%,93%,5/28/2016,145,9,176,"13,200.00","240,240.00",75
6/5/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,9,6,0,Kgs,0,88,1,77,13%,92%,5/29/2016,75,7,182,"13,650.00","171,990.00",75
6/4/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,8,11,0,Kgs,0,71,1,67,8%,95%,5/29/2016,56,6,197,"14,775.00","268,905.00",75
6/3/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,8,193,Kgs,"14,475.00",88,2,144,97%,95%,5/28/2016,124,6,193,"14,475.00","182,385.00",75
6/2/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,9,13,65,Kgs,"4,875.00",88,2,144,100%,99%,5/27/2016,137,6,194,"14,550.00","203,700.00",75
6/1/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,8,9,196,Kgs,"14,700.00",88,2,144,100%,97%,5/26/2016,118,6,200,"15,000.00","231,000.00",75
5/31/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,8,5,65,Kgs,"4,875.00",88,2,144,100%,95%,5/25/2016,124,6,191,"14,325.00","260,715.00",75
5/30/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,9,0,Kgs,0,88,2,144,13%,95%,5/24/2016,134,6,185,"13,875.00","194,250.00",75
5/29/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,5,0,Kgs,0,88,2,144,9%,99%,5/23/2016,125,6,170,"12,750.00","160,650.00",75
5/28/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,11,94,Kgs,"7,050.00",88,2,144,97%,91%,5/22/2016,122,6,192,"14,400.00","201,600.00",75
5/27/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,11,70,Kgs,"5,250.00",88,2,144,96%,95%,5/21/2016,138,6,189,"14,175.00","198,450.00",75
5/26/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,9,13,183,Kgs,"13,725.00",88,2,144,97%,91%,5/20/2016,131,6,177,"13,275.00","185,850.00",75
5/25/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,11,151,Kgs,"11,325.00",88,2,144,99%,90%,5/19/2016,131,6,186,"13,950.00","214,830.00",75
5/24/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,8,13,197,Kgs,"14,775.00",88,2,144,96%,90%,5/18/2016,117,6,180,"13,500.00","207,900.00",75
5/23/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,8,12,210,Kgs,"15,750.00",88,2,144,100%,94%,5/17/2016,115,6,176,"13,200.00","240,240.00",75
5/22/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,9,9,103,Kgs,"7,725.00",88,2,144,95%,90%,5/16/2016,134,6,172,"12,900.00","162,540.00",75
5/21/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,7,122,Kgs,"9,150.00",88,2,144,100%,99%,5/15/2016,118,6,171,"12,825.00","161,595.00",75
5/20/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,10,9,0,Kgs,0,88,2,144,12%,97%,5/14/2016,120,6,171,"12,825.00","233,415.00",75
5/19/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,9,10,0,Kgs,0,88,2,144,13%,93%,5/13/2016,131,6,171,"12,825.00","179,550.00",75
5/18/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,12,0,Kgs,0,88,2,144,8%,97%,5/12/2016,138,6,197,"14,775.00","248,220.00",75
5/17/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,10,11,0,Kgs,0,88,2,144,10%,97%,5/11/2016,127,6,200,"15,000.00","273,000.00",75
5/16/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,9,8,157,Kgs,"11,775.00",88,2,144,98%,98%,5/10/2016,134,6,183,"13,725.00","249,795.00",75
5/15/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,5,115,Kgs,"8,625.00",88,2,144,95%,94%,5/9/2016,125,6,184,"13,800.00","231,840.00",75
5/14/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,9,10,81,Kgs,"6,075.00",88,2,144,99%,96%,5/8/2016,138,6,191,"14,325.00","180,495.00",75
5/13/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,9,9,69,Kgs,"5,175.00",88,2,144,95%,97%,5/7/2016,140,6,177,"13,275.00","223,020.00",75
5/12/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,8,171,Kgs,"12,825.00",88,2,144,98%,92%,5/6/2016,141,6,170,"12,750.00","142,800.00",75
5/11/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,8,8,86,Kgs,"6,450.00",88,2,144,97%,92%,5/5/2016,122,6,197,"14,775.00","248,220.00",75
5/10/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,7,132,Kgs,"9,900.00",88,2,144,98%,99%,5/4/2016,141,6,178,"13,350.00","205,590.00",75
5/9/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,8,11,111,Kgs,"8,325.00",88,2,144,98%,96%,5/3/2016,132,6,199,"14,925.00","229,845.00",75
5/8/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,11,129,Kgs,"9,675.00",88,2,144,100%,92%,5/2/2016,124,6,176,"13,200.00","166,320.00",75
5/7/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,9,200,Kgs,"15,000.00",88,2,144,95%,91%,5/1/2016,115,6,194,"14,550.00","203,700.00",75
5/6/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,12,125,Kgs,"9,375.00",88,2,144,100%,98%,4/30/2016,128,6,198,"14,850.00","187,110.00",75
5/5/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,9,14,0,Kgs,0,88,2,144,5%,94%,4/29/2016,124,6,174,"13,050.00","219,240.00",75
5/4/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,9,6,0,Kgs,0,88,2,144,5%,93%,4/28/2016,117,6,183,"13,725.00","172,935.00",75
5/3/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,8,6,0,Kgs,0,88,2,144,14%,95%,4/27/2016,140,6,185,"13,875.00","174,825.00",75
5/2/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,13,0,Kgs,0,88,2,144,5%,97%,4/26/2016,132,6,197,"14,775.00","186,165.00",75
5/1/2016,Groceries,Pinapple Chunk 8 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ABC Vendor,8,15,0,Kgs,0,88,2,144,13%,95%,4/25/2016,115,6,196,"14,700.00","164,640.00",75
6/8/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,9,8,89,Kgs,"17,800.00",14,4,52,95%,90%,5/31/2016,46,8,193,"38,600.00","540,400.00",200
6/7/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,9,13,157,Kgs,"31,400.00",75,4,256,97%,99%,5/27/2016,228,11,199,"39,800.00","724,360.00",200
6/6/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,8,11,145,Kgs,"29,000.00",64,3,153,98%,94%,6/3/2016,136,3,181,"36,200.00","506,800.00",200
6/5/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,10,10,0,Kgs,0,33,1,28,7%,91%,5/27/2016,27,9,198,"39,600.00","720,720.00",200
6/4/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,12,7,0,Kgs,0,19,2,30,7%,91%,5/23/2016,25,12,193,"38,600.00","486,360.00",200
6/3/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,11,8,0,Kgs,0,14,4,52,15%,99%,5/26/2016,49,8,178,"35,600.00","647,920.00",200
6/2/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,11,14,134,Kgs,"26,800.00",14,4,52,97%,98%,5/25/2016,49,8,176,"35,200.00","640,640.00",200
6/1/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,9,13,181,Kgs,"36,200.00",14,4,52,97%,94%,5/24/2016,43,8,179,"35,800.00","400,960.00",200
5/31/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,8,13,126,Kgs,"25,200.00",14,4,52,95%,94%,5/23/2016,51,8,177,"35,400.00","644,280.00",200
5/30/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,10,5,127,Kgs,"25,400.00",14,4,52,95%,97%,5/22/2016,44,8,176,"35,200.00","492,800.00",200
5/29/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,8,10,188,Kgs,"37,600.00",14,4,52,100%,99%,5/21/2016,44,8,183,"36,600.00","461,160.00",200
5/28/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,12,10,146,Kgs,"29,200.00",14,4,52,98%,94%,5/20/2016,43,8,177,"35,400.00","545,160.00",200
5/27/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,9,7,144,Kgs,"28,800.00",14,4,52,100%,95%,5/19/2016,42,8,200,"40,000.00","728,000.00",200
5/26/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,11,15,167,Kgs,"33,400.00",14,4,52,100%,95%,5/18/2016,47,8,177,"35,400.00","594,720.00",200
5/25/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,8,8,0,Kgs,0,14,4,52,9%,98%,5/17/2016,46,8,174,"34,800.00","487,200.00",200
5/24/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,8,8,0,Kgs,0,14,4,52,6%,91%,5/16/2016,50,8,184,"36,800.00","412,160.00",200
5/23/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,11,5,0,Kgs,0,14,4,52,12%,95%,5/15/2016,50,8,186,"37,200.00","520,800.00",200
5/22/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,12,7,128,Kgs,"25,600.00",14,4,52,100%,93%,5/14/2016,51,8,194,"38,800.00","651,840.00",200
5/21/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,12,13,203,Kgs,"40,600.00",14,4,52,98%,93%,5/13/2016,51,8,199,"39,800.00","612,920.00",200
5/20/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,9,6,128,Kgs,"25,600.00",14,4,52,98%,91%,5/12/2016,44,8,187,"37,400.00","471,240.00",200
5/19/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,10,10,187,Kgs,"37,400.00",14,4,52,99%,90%,5/11/2016,49,8,198,"39,600.00","720,720.00",200
5/18/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,9,12,180,Kgs,"36,000.00",14,4,52,99%,95%,5/10/2016,46,8,195,"39,000.00","709,800.00",200
5/17/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,12,13,203,Kgs,"40,600.00",14,4,52,99%,94%,5/9/2016,51,8,178,"35,600.00","647,920.00",200
5/16/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,8,11,0,Kgs,0,14,4,52,14%,90%,5/8/2016,44,8,190,"38,000.00","532,000.00",200
5/15/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,11,11,0,Kgs,0,14,4,52,11%,98%,5/7/2016,46,8,185,"37,000.00","466,200.00",200
5/14/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,8,5,0,Kgs,0,14,4,52,10%,90%,5/6/2016,45,8,193,"38,600.00","486,360.00",200
5/13/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,10,12,0,Kgs,0,14,4,52,10%,95%,5/5/2016,43,8,200,"40,000.00","504,000.00",200
5/12/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,11,15,165,Kgs,"33,000.00",14,4,52,97%,90%,5/4/2016,47,8,183,"36,600.00","614,880.00",200
5/11/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,8,11,55,Kgs,"11,000.00",14,4,52,97%,91%,5/3/2016,48,8,177,"35,400.00","594,720.00",200
5/10/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,11,8,84,Kgs,"16,800.00",14,4,52,100%,95%,5/2/2016,48,8,187,"37,400.00","418,880.00",200
5/9/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,11,8,140,Kgs,"28,000.00",14,4,52,95%,95%,5/1/2016,44,8,176,"35,200.00","640,640.00",200
5/8/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,12,10,114,Kgs,"22,800.00",14,4,52,96%,99%,4/30/2016,48,8,180,"36,000.00","504,000.00",200
5/7/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,12,15,0,Kgs,0,14,4,52,15%,93%,4/29/2016,47,8,197,"39,400.00","441,280.00",200
5/6/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,12,6,0,Kgs,0,14,4,52,15%,96%,4/28/2016,48,8,193,"38,600.00","594,440.00",200
5/5/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,11,9,0,Kgs,0,14,4,52,8%,95%,4/27/2016,49,8,196,"39,200.00","603,680.00",200
5/4/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,12,10,0,Kgs,0,14,4,52,9%,97%,4/26/2016,43,8,175,"35,000.00","588,000.00",200
5/3/2016,Groceries,Sugar 5 kg,Howrah Depot,DC - Kolkata Metropolitan Area,ZXC Refinery,11,5,206,Kgs,"41,200.00",14,4,52,100%,96%,4/25/2016,51,8,193,"38,600.00","648,480.00",200
